Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall,Temperature,Humidity
Sesamum,1999,Kharif,kerala,2612.0,718,2914.6,277211.56,705.24,0.374545455,41.79,23.844,90.482
Bajra,1999,Kharif,puducherry,170.0,470,1434.5875,18042.1,45.9,2.76,15.8,28.718,74.252
Cotton(lint),1999,Kharif,puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14,15.8,28.718,74.252
Ginger,1999,Kharif,puducherry,133.0,94,1434.5875,14115.29,35.91,0.676666667,15.8,28.718,74.252
Groundnut,1999,Kharif,puducherry,898.0,2511,1434.5875,95304.74,242.46,2.125,15.8,28.718,74.252
Jowar,1999,Kharif,puducherry,3.0,3,1434.5875,318.39,0.81,1.0,15.8,28.718,74.252
Moong(Green Gram),1999,Rabi,puducherry,2453.0,1321,1434.5875,260336.89,662.31,0.553333333,14.29,26.05,78.084
Other  Rabi pulses,1999,Rabi,puducherry,63.0,123,1434.5875,6686.19,17.01,1.333333333,14.29,26.05,78.084
Ragi,1999,Kharif,puducherry,124.0,452,1434.5875,13160.12,33.48,3.325,15.8,28.718,74.252
Rapeseed &Mustard,1999,Rabi,puducherry,64.0,483,1434.5875,6792.32,17.28,6.023333333,14.29,26.05,78.084
Rice,1999,Kharif,puducherry,25444.0,59433,1434.5875,2700371.72,6869.88,2.61,15.8,28.718,74.252
Urad,1999,Rabi,puducherry,3159.0,2467,1434.5875,335264.67,852.93,0.763333333,14.29,26.05,78.084
Arhar/Tur,1999,Kharif,west bengal,3077.0,2320,2318.1,326562.01,830.79,0.83,46.36,27.812,86.898
Bajra,1999,Kharif,west bengal,146.0,96,2318.1,15494.98,39.42,0.606666667,46.36,27.812,86.898
Barley,1999,Rabi,west bengal,5077.0,4686,2318.1,538822.01,1370.79,0.776666667,1.49,20.542,63.56
Castor seed,1999,Kharif,west bengal,35.0,24,2318.1,3714.55,9.45,0.69,46.36,27.812,86.898
Cotton(lint),1999,Kharif,west bengal,750.0,2040,2318.1,79597.5,202.5,2.72,46.36,27.812,86.898
Dry chillies,1999,Rabi,west bengal,46293.0,38430,2318.1,4913076.09,12499.11,1.043333333,1.49,20.542,63.56
Ginger,1999,Kharif,west bengal,9165.0,18890,2318.1,972681.45,2474.55,1.662777778,46.36,27.812,86.898
Gram,1999,Rabi,west bengal,26618.0,21961,2318.1,2824968.34,7186.86,0.826923077,1.49,20.542,63.56
Groundnut,1999,Kharif,west bengal,4804.0,3311,2318.1,509848.52,1297.08,1.16625,46.36,27.812,86.898
Groundnut,1999,Rabi,west bengal,6098.0,9269,2318.1,647180.74,1646.46,1.525,1.49,20.542,63.56
Groundnut,1999,Summer,west bengal,23233.0,33214,2318.1,2465718.29,6272.91,1.315,3.69,32.675,55.935
Horse-gram,1999,Rabi,west bengal,4326.0,2087,2318.1,459118.38,1168.02,0.452,1.49,20.542,63.56
Jowar,1999,Kharif,west bengal,1156.0,540,2318.1,122686.28,312.12,0.68,46.36,27.812,86.898
Jute,1999,Kharif,west bengal,613923.0,7593680,2318.1,65155647.99,165759.21,13.94058824,46.36,27.812,86.898
Khesari,1999,Rabi,west bengal,23091.0,21964,2318.1,2450647.83,6234.57,0.999375,1.49,20.542,63.56
Linseed,1999,Rabi,west bengal,9855.0,4004,2318.1,1045911.15,2660.85,0.360769231,1.49,20.542,63.56
Maize,1999,Kharif,west bengal,35129.0,69682,2318.1,3728240.77,9484.83,1.941538462,46.36,27.812,86.898
Masoor,1999,Rabi,west bengal,58760.0,34165,2318.1,6236198.8,15865.2,0.636470588,1.49,20.542,63.56
